Tipo de residuo;Total Nacional;Comunidades y Ciudades Autónomas;periodo;Total
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;15 Comunidad Foral Navarra;2010;185.635
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;16 País Vasco;2021;540.177
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;16 País Vasco;2020;421.630
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;16 País Vasco;2019;479.547
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;16 País Vasco;2018;609.079
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;16 País Vasco;2017;550.836
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;16 País Vasco;2016;640.017
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;16 País Vasco;2015;659.754
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;16 País Vasco;2014;564.187
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;16 País Vasco;2013;779.441
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;16 País Vasco;2012;769.912
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;16 País Vasco;2011;680.888
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;16 País Vasco;2010;694.220
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;17 La Rioja;2021;101.616
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;17 La Rioja;2020;104.279
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;17 La Rioja;2019;106.913
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;17 La Rioja;2018;107.923
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;17 La Rioja;2017;106.943
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;17 La Rioja;2016;106.233
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;17 La Rioja;2015;105.254
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;17 La Rioja;2014;104.691
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;17 La Rioja;2013;103.026
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;17 La Rioja;2012;104.789
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;17 La Rioja;2011;109.774
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;17 La Rioja;2010;111.409
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;;2021;234.512
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;;2020;224.995
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;;2019;722.423
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;;2018;673.495
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;;2017;814.281
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;;2016;910.708
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;;2015;647.373
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;;2014;643.136
